frame.number,frame.time_relative,frame.time_delta,frame.len,ip.proto,ip.version,ip.src,eth.src,ip.dst,eth.dst,mbtcp.modbus.unit_id,tcp.srcport,tcp.dstport,mbtcp.prot_id,mbtcp.trans_id,mbtcp.len,mbtcp.modbus.func_code,mbtcp.modbus.reference_num,mbtcp.modbus.word_cnt,mbtcp.modbus.data
1,0.000000000,0.000000000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,239,6,4,2,1,
2,0.004760000,0.004760000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,239,5,4,,,13:77
3,0.005108000,0.000348000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,240,6,4,0,1,
4,0.014127000,0.009019000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,240,5,4,,,00:70
5,0.014469000,0.000342000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,241,6,4,0,1,
6,0.024130000,0.009661000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,241,5,4,,,00:70
7,0.024412000,0.000282000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,242,6,4,0,1,
8,0.035774000,0.011362000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,242,5,4,,,00:70
9,0.036118000,0.000344000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,243,6,4,0,1,
10,0.044176000,0.008058000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,243,5,4,,,00:70
11,0.044535000,0.000359000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,244,6,4,1,1,
12,0.055748000,0.011213000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,244,5,4,,,00:50
13,0.056054000,0.000306000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,245,6,4,1,1,
14,0.065728000,0.009674000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,245,5,4,,,00:50
15,0.066054000,0.000326000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,246,6,4,3,1,
16,0.076009000,0.009955000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,246,5,4,,,16:70
17,0.076415000,0.000406000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,247,6,4,0,1,
18,0.085661000,0.009246000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,247,5,4,,,00:70
19,0.086017000,0.000356000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,248,6,4,0,1,
20,0.095758000,0.009741000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,248,5,4,,,00:70
21,0.096113000,0.000355000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,249,6,4,0,1,
22,0.105763000,0.009650000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,249,5,4,,,00:70
23,0.106129000,0.000366000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,250,6,4,1,1,
24,0.115780000,0.009651000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,250,5,4,,,00:50
25,0.116143000,0.000363000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,251,6,4,1,1,
26,0.125751000,0.009608000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,251,5,4,,,00:50
27,0.125993000,0.000242000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,252,6,4,1,1,
28,0.135940000,0.009947000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,252,5,4,,,00:50
29,0.136294000,0.000354000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,253,6,4,1,1,
30,0.145637000,0.009343000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,253,5,4,,,00:50
31,0.146003000,0.000366000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,254,6,4,1,1,
32,0.155941000,0.009938000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,254,5,4,,,00:50
33,0.156305000,0.000364000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,255,6,4,1,1,
34,0.165689000,0.009384000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,255,5,4,,,00:50
35,0.330010000,0.164321000,60,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,,1202,502,,,,,,,
36,0.500349000,0.170339000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,0,6,4,2,1,
37,0.504099000,0.003750000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,0,5,4,,,13:77
38,0.504406000,0.000307000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,1,6,4,0,1,
39,0.515684000,0.011278000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,1,5,4,,,00:70
40,0.515961000,0.000277000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,2,6,4,0,1,
41,0.525648000,0.009687000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,2,5,4,,,00:70
42,0.525944000,0.000296000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,3,6,4,0,1,
43,0.535956000,0.010012000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,3,5,4,,,00:70
44,0.536266000,0.000310000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,4,6,4,0,1,
45,0.545680000,0.009414000,65,6,4,192.168.12.253,00:80:f4:0f:35:aa,192.168.12.53,08:00:27:a5:dc:c4,1,502,1202,0,4,5,4,,,00:70
46,0.545973000,0.000293000,66,6,4,192.168.12.53,08:00:27:a5:dc:c4,192.168.12.253,00:80:f4:0f:35:aa,1,1202,502,0,5,6,4,1,1,
